restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,address,entrance,parking,seats,counter_seats,smoking,private_room,store_website,remarks,lecture,cooking_specialties,drinking_specialties,usage_scenes,wifi_available,video,qr_code_payment,phone_number,private,available_drinks,reservation,child_friendly,power_supply_available,foreign_language_support,dress_code,pet_friendly,instagram,facebook,waiting,service,additional_equipment,ic_card_payment,twitter,쇼핑 직무 정보,beer_maker,인근 시설
ミスターデンジャー浅草観音店,Mr Danger Asakusa Kannon 매장,https://retty.me/area/PRE13/ARE9/SUB902/100000741660/,03-5828-9050,스테이크 햄버거 햄버거 카레,"[tue-fri]
점심 11:00-14:00 L.O. 14:00
[Sun, 화요일, 금요일, 토요일, 공휴일 및 휴일 전]
저녁 식사 17:30-22:30 L.O. 22:00","매주 월요일
∎ 공휴일에 문을 열고 다음날 문을 닫습니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,"2-28-21 Asakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Asakusa Station에서 도보로 5 분 거리 (350m)
도쿄 메트로 진 자 라인 / 아사쿠사 역에서 도보로 7 분 (550m)
도쿄 메트로 긴자 라인 / 타와 라마치 (도쿄) 역에서 도보 11 분 (860m)",,15 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,https://www.mrdanger.jp/,,,,,"점심, 개인 객실, 싱글 룸, 세련된, 저녁, 쌀, 맛있는/저렴한, 고기, 비 흡연, 개인 실, 점심, 세련된, 개인 실
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/24857717.jpg,,,,,,,,,,,,,,,,,,,,
フランス料理店 Ludique,프랑스 레스토랑 Ludique,https://retty.me/area/PRE13/ARE9/SUB902/100001319422/,03-5849-4169,프랑스 와인 바 테이크 아웃 게임,"[태양, 월요일, 토요일 및 휴일]
점심 12:00-15:00 L.O. 14:00
[Sun, 월요일, 화요일, 목요일, 금요일, 토요일 및 공휴일]
저녁 18 : 00-23 : 00","매주 수요일
한 달에 한 번 불규칙한 휴일

・ a la carte lo 22 : 00/코스 lo 21:00","점심 : ~ 3,000 엔
저녁 식사 : ~ 8,000 엔",Amex,"102, 3-18-6 Asakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Asakusa Station에서 걸어서 4 분 (310m)
도쿄 메트로 진 자 라인 / 아사쿠사 역에서 도보로 9 분 (720m)
도쿄 메트로 진 자 라인 / 타와 라마치 (도쿄) 역 (930m)에서 도보로 12 분",,15 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,"점심, 개인 객실, 약혼 저녁 식사 파티, 싱글은 환영합니다
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36628889.jpg,PayPay,,,,,,,,,,,https://www.facebook.com/ludique0125/,,,,,,,,
茶寮 一松,Saryo Ichimatsu,https://retty.me/area/PRE13/ARE9/SUB902/100000057884/,03-3841-0333,Kaiseki 요리 일본 과자 과자 면도 아이스 카페,"[Sun, 화요일, 금요일, 토요일 및 휴일]
 17:00-22:30 L.O. 20:30
일본 카페 점심 12시","매주 월요일
오본과 12 월의 불규칙한 휴일, 새해 공휴일
*상황으로 인해 마감일이 변경 될 수 있습니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 20,000 엔",Amex,"1-15-1 Kaminarimon, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 타와 라마치 (도쿄) 역에서 도보로 3 분 거리 (230m)
Tsukuba Express / Asakusa 역에서 도보로 3 분 거리 (230m)
도쿄 메트로 진 자 라인 / 아사쿠사 역에서 도보로 5 분 (390m)",,"200 석
(Sunken Kotatsu와 Zaisu가있는 좌석이 있습니다)",없음,"연기 분리
(수동 흡연 조치 (Advanced Health Promotion Act)에 관한 법률은 2020 년 4 월 1 일부터 발효되었으며 최신 정보는 최신 정보와 다를 수 있으므로 방문하기 전에 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",https://www.ichimatsu.co.jp/,신용 카드 : 평일 점심 시간에는 이용할 수 없습니다,,,,"연회 및 음주 파티 개인 객실 약혼 저녁 식사 파티 싱글 OK Entertainment Farewell 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 와인을 마시는 세련된 저녁 식사를 마시는 세련된 개인 객실을 허용합니다.
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000057884/archive/2483941-614afb5d0cbd6.png,PayPay,,,,,,,,,,,,,,,,,,,
浅草つむぎ,아사쿠사 츠 무기,https://retty.me/area/PRE13/ARE9/SUB902/100000097271/,03-3844-8713,소바 (Soba) Udon Izakaya 힘줄,"[Sun, 월요일, 수요일, 금요일, 토요일]
 11:15-21:00",매주 화요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,"2-22-12 Asakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Asakusa Station에서 도보로 2 분 거리 (150m)
도쿄 메트로 진 자 라인 / 아사쿠사 역에서 도보로 9 분 (680m)
도쿄 메트로 긴자 라인 / 타와 라마치 (도쿄) 역에서 도보 10 분 (780m)",,14 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,"점심, 개인 실, 저녁 식사, 쌀, 비 흡연, 개인 실, 점심",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33869280.jpg,,,,,,,,,,,,,,,,,,,,
大成苑,다이 지엔,https://retty.me/area/PRE13/ARE9/SUB902/100000023034/,03-3841-5544,Yakiniku 호르몬 한국 요리,"화요일부터 일요일까지
16 : 00-23 : 00 (L.O. 22:30)",매주 월요일,"점심:-
저녁 식사 : ~ 5,000 엔",불가능합니다,"2-13-13 Asakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Asakusa 역에서 도보로 1 분 (62m)
도쿄 메트로 긴자 라인 / 타와 라마치 (도쿄) 역에서 도보 8 분 (640m)
도쿄 메트로 긴자 라인 / 아사쿠사 역에서 도보로 9 분 (650m)",,28 석,없음,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,"연회/음주 파티 솔로 작별 파티에 이용할 수있는 개인 객실을 환영합니다. 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티를 마실 수 있습니다. 술을 마실 수 있습니다.
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30624681.jpg,,,,,,,,,,,,,,,,,,,,
大衆酒場 岡本,인기있는 바 오카모토,https://retty.me/area/PRE13/ARE9/SUB902/100000779615/,03-3841-7587,이자카야 야키소바 야키토리 오코야키,"[월요일부터 금요일까지]
 11:00-23:00
[태양, 토요일, 휴일]
 10:00-23:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",불가능합니다,"2-5-14 Asakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Asakusa Station에서 도보로 3 분 거리 (170m)
도쿄 메트로 진 자 라인 / 아사쿠사 역에서 도보로 6 분 (440m)
도쿄 메트로 긴자 라인 / 타와 라마치 (도쿄) 역에서 도보로 7 분 거리 (510m)",,50 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,,,,,"점심 연회와 음주 파티 싱글 OK 작별 파티를 환영 파티 연말 파티 새해 파티를 마실 수 있습니다.
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/8773761.jpg,PayPay,,,,,,,,,,,,,,,,,,,
蜀食成都 千束店,Shu Chengdu Chengdu Chiangzhou 상점,https://retty.me/area/PRE13/ARE9/SUB902/100001248990/,03-3871-2126,사천 요리,"[하루 종일]
 11:00-27:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔",불가능합니다,"4-31-2 Senzuku, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Sannomiya 역에서 도보로 9 분 (720m)
Tsukuba Express / Asakusa 역에서 도보로 12 분 (920m)
도쿄 메트로 히비야 라인 / 미나미 센 주역 도보 12 분 (960m)",,,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,"점심, 개인 실, 저녁 식사, 쌀, 흡연 허용, 개인 실, 점심, 늦은 밤에 영업",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3446305.jpg,,,,,,,,,,,,,,,,,,,,
浅草もんじゃ かっぱ祭り,아사쿠사 몬자 카파 페스티벌,https://retty.me/area/PRE13/ARE9/SUB902/100000017248/,03-5806-8839,Monjayaki Teppanyaki Yakisoba,"[월요일, 화요일, 목요일, 금요일, 토요일]
 17:30-23:00 L.O. 22:00
[일요일과 휴일]
 17:00-22:30 L.O. 21:30",매월 두 번째 화요일 매주 수요일,"점심:-
저녁 식사 : ~ 3,000 엔",불가능합니다,"1-3-14 Nishi-Asakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 타와 라마치 (도쿄) 역에서 도보로 2 분 거리 (110m)
Tsukuba Express / Asakusa 역에서 도보로 5 분 (330m)
Toei Oedo Line / Kuramae Station에서 도보로 8 분 (620m)",,40 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,"개인 룸 저녁 식사, 금연 페이 페이 지불 가능",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36959137.jpg,PayPay,,,,,,,,,,https://www.instagram.com/kappamatsuri/,,,,,,https://x.com/kappama2ri,,,
喫茶あかね,카페 아카네,https://retty.me/area/PRE13/ARE9/SUB902/100001199374/,03-3873-6406,커피 숍 카페 테이크 아웃,"[월요일부터 금요일과 토요일]
 9:00-20:00",매월 매월 두 번째 토요일 매주 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,"7-6-5 Asakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 아사쿠사 역에서 도보 11 분 (820m)
Toei Asakusa Line / Honjo Azumabashi Station 13 분 도보 (1.0km)
Tsukuba Express / Asakusa 역에서 도보 14 분 (1.1km)",없음,,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,Shochu를 사용할 수 있습니다,"점심 브런치 아침 식사 저녁 흡연 허용 무료 Wi -Fi Power Cafe Paypay 지불 가능
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35551691.jpg,PayPay,,,,,,예 (무료),,,,,https://www.facebook.com/cafe.akane,"조용한 가게
차분한 분위기",,,,,,,
まる,원,https://retty.me/area/PRE13/ARE9/SUB902/100000097489/,03-3875-6723,Okonomiyaki,,,"점심:-
저녁 식사 : ~ 1,000 엔",,"5-32-8 Asakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Asakusa Station에서 도보로 9 분 (680m)
도쿄 메트로 히비야 라인 / 산노미야 스테이션 13 분 (980m)
도쿄 메트로 진 자 라인 / 아사쿠사 역에서 도보 14 분 (1.1km)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,금연,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35386600.jpg,,,,,,,,,,,,,,,,,,,,
串焼き居酒屋 福家,쿠시야키 이자카야 후쿠야,https://retty.me/area/PRE13/ARE9/SUB902/100001258186/,03-6458-1665,Yakitori Izakaya 숯 구이,"[월요일, 수요일, 금요일, 토요일 및 휴일 전]
저녁 식사 17:00-25:00 L.O. 24:00
[일요일과 휴일]
 15:00-25:00 L.O. 24:00",,"점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB","4-21-8 ASAKUSA, TAITO-KU, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Asakusa Station에서 도보로 5 분 거리 (370m)
도쿄 메트로 진 자 라인 / 아사쿠사 역에서 도보 11 분 (830m)
도쿄 메트로 진 자 라인 / 타와 라마치 (도쿄) 역에서 도보 13 분 (1.0km)","예
근처 (할인 없음) 사용 가능","31 석
(태블릿 이용 가능)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,우리는 고기 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인, 위스키, awamori","연회 및 음주 파티 싱글 파티 싱글 파티 환영 파티 연말 파티 새해 파티 술 마시기 와인을 마시는 주차장이 있습니다.
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001258186/archive/2904318-63666283542a18.jpg,PayPay,,"예
제한된 수의 사람들이 임대 할 수있는 (좌석) : 35 명
최대 40 명이 임대 할 수 있습니다 (스탠드 스탠딩 식사)","3,000 엔에서 3,999 엔, 4,000 엔에서 4,999 엔, 2 시간 동안 싱글 링크를 포함하는 코스가 있습니다.",사용 가능한 예약,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",예 (무료),"영어 중국어
언어 지원 메뉴가 있습니다",,불가능합니다,https://www.instagram.com/izakaya.fukuya,https://www.facebook.com/lzakaya.fukuya,,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",TV 및 모니터 사용 가능,,,,,
Zu-Lu,줄루 족,https://retty.me/area/PRE13/ARE9/SUB902/100000098851/,03-3843-5860,바 식당 바,"[월요일부터 금요일과 토요일]
 20:00-6:00
[낮]
 19:00-2:00",불규칙한 휴일,"점심:-
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB","1F, 2-8-10 Kaminarimon, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 아사쿠사 역에서 도보로 3 분 (180m)
도쿄 메트로 진 자 라인 / 타와 라마치 (도쿄) 역에서 도보 5 분 (390m)
Tsukuba Express / Asakusa 역에서 도보로 6 분 (430m)",,,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,"개인 실, 단일 용도, 세련된, 첫 번째 열차, 저녁 식사, 쌀, 흡연, 세련된, 개인 실, 늦은 밤에 문을 열 때까지 열려 있습니다.
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/25547708.jpg,,,,,,,,,,,,,,,,,,,,
パンの田島 浅草ROX店,빵 타지마 아사쿠사 록스 매장,https://retty.me/area/PRE13/ARE9/SUB902/100001448880/,03-3842-9233,빵집,"[하루 종일]
 9:00-21:00",・ 시설과 동일합니다,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",,"Asakusa Rox2g 1f, 1-24-1 Asakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Asakusa Station에서 도보로 1 분 (75m)
도쿄 메트로 긴자 라인 / 타와 라마치 (도쿄) 역에서 도보로 4 분 거리 (320m)
도쿄 메트로 진 자 라인 / 아사쿠사 역에서 도보 6 분 (480m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"점심, 솔로, 브런치, 세련된, 아침 식사, 저녁, 쌀, 금연, 세련된 점심, 이브닝 카페, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34855606.jpg,PayPay,,,,,,,,,,,,,,,,,,,
まき田,마키타,https://retty.me/area/PRE13/ARE9/SUB902/100001692194/,03-5603-5533,일본 음식,"[하루 종일]
 11:30-13:30
 17:00-21:30",,"점심 : ~ 1,000 엔
저녁:-",,"4-6-2 Asakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Asakusa 역에서 도보로 8 분 (590m)
도쿄 메트로 진 자 라인 / 아사쿠사 역에서 도보로 9 분 (700m)
도쿄 메트로 진 자 라인 / 타와 라마치 (도쿄) 역 (1.1km)에서 도보 15 분",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"점심, 저녁 식사, 저녁 식사, 금연",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31768435.jpg,,,,,,,,,,,,,,,,,,,,
十八番,18 번,https://retty.me/area/PRE13/ARE9/SUB902/100000006234/,03-3844-0108,"중국 음식, Gyoza,라면, 쌀 그릇","[월요일부터 금요일, 토요일, 휴일 전]
점심 11:00-16:00
[월요일부터 금요일과 토요일]
저녁 식사 17:00-21:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,"18-7 Nishi-Asakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Asakusa Station에서 도보로 4 분 거리 (280m)
도쿄 메트로 진 자 라인 / 타와 라마치 (도쿄) 역 (410m)에서 도보 6 분
도쿄 메트로 긴자 라인 / 도코 (도쿄) 역에서 도보 11 분 (810m)",,"17 석
(12 테이블 좌석 (4 좌석 x 3))","예
(카운터에서 5 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"점심, 솔로, 세련된, 저녁 식사, 쌀, 비 흡연, 세련된, 점심",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31355269.jpg,,,,,,,,,,,,https://www.facebook.com/media/set/,,,,,,,,
FEBRUARY KITCHEN,2 월 주방,https://retty.me/area/PRE13/ARE9/SUB902/100001475984/,03-5811-1535,카페,"[Sun, 월요일, 화요일, 목요일, 금요일, 토요일 및 공휴일]
 8:00-18:00",매주 수요일,"점심 : ~ 2,000 엔
저녁:-",,"2-29-6 ASAKUSA, TAITO-KU, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Asakusa 역에서 도보로 4 분 (300m)
도쿄 메트로 진 자 라인 / 아사쿠사 역에서 도보 6 분 (480m)
도쿄 메트로 진 자 라인 / 타와 라마치 (도쿄) 역에서 도보 10 분 (740m)",,,예,"불가능합니다
(흡연은 테라스 좌석에서 허용됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"점심, 솔로, 브런치, 세련된, 아침 식사, 금연, 세련된 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36611553.jpg,PayPay,,,,,,,,,,https://www.instagram.com/febreabry_kitchen/,https://www.facebook.com/februber-kitchen-293081548231422/,,,,,,,,
いいおか,괜찮아?,https://retty.me/area/PRE13/ARE9/SUB902/100001719504/,03-6325-0357,이자카야,"[Sun, 월요일, 수요일, 금요일, 토요일]
 11:30-14:00
 17:30-22:00",매주 화요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",,"2-25-6 Asakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Asakusa Station에서 도보로 3 분 거리 (170m)
도쿄 메트로 긴자 라인 / 아사쿠사 역에서 도보로 9 분 (670m)
도쿄 메트로 진 자 라인 / 타와 라마치 (도쿄) 역에서 도보 10 분 (790m)",,27 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"점심, 저녁, 저녁 식사, 금연, 급여 지불 지불 가능",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3344902.jpg,PayPay,,,,,,,,,,,https://www.facebook.com/goodhill1204/,,,,,,,,
カレーハウス CoCo壱番屋 東武浅草駅前店,카레 하우스 코코 이치 비냐 토지 아사쿠사 에키 마 (Ekimae) 지점,https://retty.me/area/PRE13/ARE9/SUB902/100000098284/,03-5806-3551,카레 테이크 아웃 배달/택배,"[하루 종일]
 11:00-1:00","하루 종일 개점
[배달]
11 : 00-15 : 00
17 : 00-24 : 00","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",,"1-3-2 Hanakawado, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 아사쿠사 역에서 도보로 1 분 (64m)
Toei Asakusa Line / Honjo Azumabashi Station에서 도보 9 분 (670m)
Tsukuba Express / Asakusa Station에서 도보로 9 분 (710m)",,26 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.ichibanya.co.jp/index.html,,,,,"점심, 저녁, 저녁 식사, 금연, 급여 지불 지불 가능",,https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/33805846.jpg,PayPay,,,,,,,,,,,,,,,,,,,
おでん居酒屋 ひょうたんなべ 雷門店,오덴이자 카야 하이오 탄 나베 카미 나베 지점,https://retty.me/area/PRE13/ARE9/SUB902/100000455100/,03-3842-1522,이자카야 오덴 사시미 꼬치 야키토리,"[월요일부터 금요일, 토요일, 휴일 전]
 17:00-24:00
[일요일과 휴일]
 16:00-23:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",Amex,"1-2-9 Asakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 아사쿠사 역에서 도보 1 분 (51m)
Tsukuba Express / Asakusa Station에서 도보로 7 분 거리 (520m)
도쿄 메트로 진 자 라인 / 타와 라마치 (도쿄) 역에서 도보 8 분 (630m)",,35 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,혼자 크리스마스 저녁 식사를 즐길 수 있습니다.,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/26220444.jpg,,,,,,,,,,,,,,,,,,,,
浅草六区酒場,아사쿠사 로쿠 와드 바,https://retty.me/area/PRE13/ARE9/SUB902/100001438628/,03-6324-6817,이자카야 테이크 아웃 야키토리,"[월요일부터 금요일까지]
 15:00-23:00 L.O. 22:30
[토요일/휴일]
 11:00-23:00 L.O. 22:30
[낮]
 11:00-22:30 L.O. 22:00","불규칙한 휴일
일년 내내 개장하지만 유지 보수 등으로 인해 문을 닫을 수 있습니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB","1-39-7 Asakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Asakusa 역에서 도보로 3 분 거리 (230m)
도쿄 메트로 진 자 라인 / 아사쿠사 역에서 도보로 5 분 (360m)
도쿄 메트로 진 자 라인 / 타와 라마치 (도쿄) 역에서 도보로 6 분 거리 (460m)","없음
근처 (할인 없음) 사용 가능",32 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://asakusarokkusakaba.owst.jp,,,,,"점심으로 점심으로 마시는 연회와 음주 파티 싱글 싱글 OK 작별 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 음주 음료 와인 어린이들과 함께 주차장이 있습니다. 세련된 개인 공간
다른 사용 장면을 참조하십시오",없음,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001438628/archive/1420219-5e32739e0ac2c.jpg,PayPay,,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
최대 40 명을 임대 할 수 있습니다",,사용 가능한 예약,예,,,,예,,,,,,,,,,
いいおか,괜찮아?,https://retty.me/area/PRE13/ARE9/SUB902/100001719504/,03-6325-0357,이자카야,"[Sun, 월요일, 수요일, 금요일, 토요일]
 11:30-14:00
 17:30-22:00",매주 화요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",,"2-25-6 Asakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Asakusa Station에서 도보로 3 분 거리 (170m)
도쿄 메트로 긴자 라인 / 아사쿠사 역에서 도보로 9 분 (670m)
도쿄 메트로 진 자 라인 / 타와 라마치 (도쿄) 역에서 도보 10 분 (790m)",,27 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"점심, 저녁, 저녁 식사, 금연, 급여 지불 지불 가능",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3344902.jpg,PayPay,,,,,,,,,,,https://www.facebook.com/goodhill1204/,,,,,,,,
